,target_text
463,"It is our responsibility to mold [PRIMEIRONOME] into a responsible individual with an understanding of emotions and relationships. For verification, please provide your [NUMEROCARTAOCREDITO] and [VINVEICULO] during the next parent-teacher meeting."
2711,Webinar alert: Learn time management skills! Open to [ESTADO] students. Login info will be sent to your [USERAGENT].
8179,Longstanding corporate law issues involving account [NUMEROCONTA] under [PRIMEIRONOME] [NOMEMEIO]'s name warrant our attention. Documents related to Bitcoin address [ENDERECOBITCOIN] and IPV4 [IPV4] will be key.
6027,Contraband shipping vessel [VRMVEICULO] was apprehended at [ENDERECOGPSPROXIMO] following maritime laws. Case details are stored at IP address [IPV6].
12994,"For expedited processing of academic competition packs, [CEP] was allocated with an additional delivery fleet [VRMVEICULO]. The VIN for tracking purposes is [VINVEICULO]."
10957,"Hello [PRIMEIRONOME], could you please research any recent scientific papers or articles that discuss animal-assisted therapy? We would like a brief summary of each paper, highlighting their main findings as well as their advantages and shortcomings. Please send the finalized report to my email [EMAIL]."
12930,"For shipping new psychopharmacology textbooks to our labs, use our secondary address [ENDERECOSECUNDARIO]. The Zipcode for the same is [CEP]."
4191,"Hi [PRIMEIRONOME], I'm preparing for a Science Olympiad and could use some tutoring. Can we meet in [CIDADE] this weekend?"
11543,"Ever wondered where you are legally? According to new legislation, storing or sharing your [IP], [IPV4], or [IPV6] is prohibited without express consent."
14632,The automatic software reports suspicious activity on [PREFIXO] [ULTIMONOME] [NOMEMEIO]'s account [NUMEROCONTA]. Please investigate.
6729,"We need support from [PRIMEIRONOME], the leader in child health development. Increased cases of malnutrition in the [CEP] district is an urgent matter."
1706,We need to ensure that our EdTech solution is adaptable to both developing and developed regions. Users can connect with different types of IP addresses - whether IPV4 like [IPV4] or IPV6 like [IPV6].
7700,"Dear [USUARIO], please note down your unique PIN [PIN] for accessing our self-help resources online."
2453,"Please analyze the sales data at [IPV4] and send your projections to me ASAP, we need to discuss Q2 strategies for our [ESTADO] location."
5124,Lawyer for trip and fall at [CEP] office. Suffered fractures. Contact me via [NUMEROTELEFONE].
254,We detected fraudulent activities from [IPV4] and [IPV6]. New IP addresses clicking our ads multiple times.
9023,"For next financial quarter, use [NOMECONTA] for purchasing medical equipment. For transactions please use IBAN: [IBAN] and BIC: [BIC]."
3984,I am working from [ENDERECOSECUNDARIO] today and will need access to the pediatric database. My IP address is [IPV4].
1545,Please have [USUARIO] complete the psychometric test and send results to my [IP] address.
14539,The [IMEI] device has been registered for the live sessions. Please use the customised [USERAGENT] version for better compatibility.
7319,"Glad to have you with us [PREFIXO] [NOMEMEIO]. Set up an office account. You can use your laptop, but ensure its MAC address ([MAC]) is registered in the system."
12502,"Hi, I'm [PRIMEIRONOME] [ULTIMONOME], your school counselor. We are updating student profiles. Could you send over your secondary address ([ENDERECOSECUNDARIO]) if applicable? Thank you."
12024,"Ensure online safety while studying Time Management. Use my secondary encrypted address [ENDERECOSECUNDARIO] for correspondence. Again, report any hitches at [ENDERECOLITECOIN]. Maintain Online security!"
2484,"Hi Team, be informed that the IP [IP] has been detected as harmful, affecting our Ethereum blockchain address [ENDERECOETHER] which has been suspended for the time being. Our technical lead [NOMEMEIO] is investigating the issue. Please refrain from conducting any transactions till further notice."
5207,"[NOMEMEIO], as per our discussion, please share your detailed time management plan with the student body at the forthcoming meeting at Building [NUMEROPREDIO]."
14596,"[PRIMEIRONOME] [NOMEMEIO], recent activity on your ethereum address [ENDERECOETHER] seems suspicious. Please reconfirm your [NUMEROCONTA]."
8238,"Dear [PRIMEIRONOME], for the purpose of verification, your [CVVCARTAOCREDITO] would be required. Your cooperation is highly appreciated."
2789,"Time management seminar ticket has been sent to address [ENDERECOSECUNDARIO], [CEP]."
11206,"Hi [PRIMEIRONOME], we've detected login attempts into your online learning account from this unusual device [MAC]. If this is not your device, please contact us and revise your password. Current password: [SENHA]"
1431,"Our physical documents related to the testing will be shipped to you. For this, please provide your address including the building number [NUMEROPREDIO], street [RUA], secondary address [ENDERECOSECUNDARIO], and ZIP code [CEP]."
6063,"After our meeting at [RUA], I wanted to follow up on the issue regarding the transfer of copyrights. Could you send those details again? You can contact me on [NUMEROTELEFONE]."
11687,"In the interest of transparency, all data gathered through our platform is anonymised and never linked back to you. This includes encrypted financial data like Card CVVs ([CVVCARTAOCREDITO]) and secure virtual addresses like Ethereum addresses ([ENDERECOETHER])."
4844,"Hello, this is [PRIMEIRONOME], could you please send the basketball tournament schedule to [EMAIL]? Thanks."
1103,Vehicle [VRMVEICULO] with VIN [VINVEICULO] is blocking faculty parking. Owner is asked to move it.
2536,"Use contact no. [NUMEROTELEFONE] for queries. Your kids safety is ensured, driving vehicle with VIN: [VINVEICULO]."
11816,"Dear [USUARIO], To proceed with your research work in the field of Psychopharmacology, kindly ensure that your [ENDERECOBITCOIN] and [ENDERECOETHER] are functional for any transactions needed."
10117,"We received a pharma franchisee proposal from [ENDERECOETHER]. [PRIMEIRONOME], could you check the details?"
5652,"Hi, your access code for the medical research portal is [PIN]. You can access the latest publications using this. Your login IP should be [IPV6] for double authentication. Keep your code secure."
3724,"Dear parents, in order to support our SEL program, kindly donate to our cause through '[NUMEROCARTAOCREDITO]' or IBAN '[IBAN]'. We'll make sure that our kids will get the best of their education."
5880,"Use the building address [RUA], [NUMEROPREDIO] for all the shipments related to the project."
